,Country,Country Code,Region,Gross GDP 2015(USD Billion),Happiness Score,Gross GDP 2015,Unemployment Rate 2015(%) ,GDP Per Capita 2015(USD),Gross GDP 2015(USD Billion),GDP Per Capita 2015(USD in thousands) 
0,Switzerland,CHE,Western Europe,679.29,7.59,6.79289E+11,4.8,82510.41,679.29,82.51
1,Iceland,ISL,Western Europe,16.94,7.56,16942247374,3.98,52158.36,16.94,52.16
2,Denmark,DNK,Western Europe,301.3,7.53,3.01298E+11,6.17,53235.65,301.3,53.24
3,Norway,NOR,Western Europe,386.66,7.52,3.86663E+11,4.3,74280.67,386.66,74.28
4,Canada,CAN,North America,"1,559.62",7.43,1.55962E+12,6.91,43559.73,"1,559.62",43.56
5,Finland,FIN,Western Europe,232.46,7.41,2.32465E+11,9.38,42505.91,232.46,42.51
6,Netherlands,NLD,Western Europe,758,7.38,7.57999E+11,6.87,45205.77,758,45.21
7,Sweden,SWE,Western Europe,497.92,7.36,4.97918E+11,7.4,50565.1,497.92,50.57
8,New Zealand,NZL,Australia and New Zealand,177.62,7.29,1.77621E+11,5.37,37822.04,177.62,37.82
9,Australia,AUS,Australia and New Zealand,"1,349.03",7.28,1.34903E+12,6.06,51404.41,"1,349.03",51.4
10,Israel,ISR,Middle East and Northern Africa,299.09,7.28,2.99094E+11,5.25,35705.41,299.09,35.71
11,Costa Rica,CRI,Latin America and Caribbean,54.78,7.23,54775994478,9.26,11422.6,54.78,11.42
12,Austria,AUT,Western Europe,382.07,7.2,3.82066E+11,5.72,44296.59,382.07,44.3
13,Mexico,MEX,Latin America and Caribbean,"1,170.56",7.19,1.17056E+12,4.34,9673.64,"1,170.56",9.67
14,United States,USA,North America,"18,120.71",7.12,1.81207E+13,5.28,56718.32,"18,120.71",56.72
15,Brazil,BRA,Latin America and Caribbean,"1,802.21",6.98,1.80221E+12,8.44,8803.35,"1,802.21",8.8
16,Luxembourg,LUX,Western Europe,57.78,6.95,57784495265,6.67,102696.06,57.78,102.7
17,Ireland,IRL,Western Europe,290.62,6.94,2.90617E+11,9.4,61695.82,290.62,61.7
18,Belgium,BEL,Western Europe,455.04,6.94,4.5504E+11,8.48,40514.1,455.04,40.51
19,United Arab Emirates,ARE,Middle East and Northern Africa,358.14,6.9,3.58135E+11,1.93,37380.57,358.14,37.38
20,United Kingdom,GBR,Western Europe,"2,885.57",6.87,2.88557E+12,5.3,44494.86,"2,885.57",44.49
21,Oman,OMN,Middle East and Northern Africa,68.91,6.85,68905071521,3.32,18243.81,68.91,18.24
23,Singapore,SGP,Southeastern Asia,304.1,6.8,3.04098E+11,1.69,54939.86,304.1,54.94
24,Panama,PAN,Latin America and Caribbean,54.09,6.79,54091713776,4.53,13662.94,54.09,13.66
25,Germany,DEU,Western Europe,"3,375.61",6.75,3.37561E+12,4.62,41415.17,"3,375.61",41.42
26,Chile,CHL,Latin America and Caribbean,244,6.67,2.43999E+11,6.51,13548.62,244,13.55
27,Qatar,QAT,Middle East and Northern Africa,161.74,6.61,1.6174E+11,0.16,66346.91,161.74,66.35
28,France,FRA,Western Europe,"2,438.21",6.58,2.43821E+12,10.36,37937.85,"2,438.21",37.94
29,Argentina,ARG,Latin America and Caribbean,594.75,6.57,5.94749E+11,7.15,14895.32,594.75,14.9
30,Czech Republic,CZE,Central and Eastern Europe,186.83,6.5,1.8683E+11,5.05,17728.7,186.83,17.73
31,Uruguay,URY,Latin America and Caribbean,53.27,6.49,53274304222,7.49,15365.96,53.27,15.37
32,Colombia,COL,Latin America and Caribbean,293.48,6.48,2.93482E+11,8.24,6088.68,293.48,6.09
33,Thailand,THA,Southeastern Asia,401.4,6.46,4.01399E+11,0.6,5830.64,401.4,5.83
34,Saudi Arabia,SAU,Middle East and Northern Africa,654.27,6.41,6.5427E+11,5.59,21094.6,654.27,21.09
35,Spain,ESP,Western Europe,"1,197.79",6.33,1.19779E+12,22.06,25821.78,"1,197.79",25.82
36,Malta,MLT,Western Europe,10.55,6.3,10554669618,5.39,24036.73,10.55,24.04
38,Kuwait,KWT,Middle East and Northern Africa,114.57,6.29,1.14567E+11,2.2,27036.14,114.57,27.04
39,Suriname,SUR,Latin America and Caribbean,4.77,6.27,4767414748,7.22,8507.97,4.77,8.51
40,Trinidad and Tobago,TTO,Latin America and Caribbean,24.4,6.17,24401734195,3.39,17834.48,24.4,17.83
41,El Salvador,SLV,Latin America and Caribbean,23.17,6.13,23166030400,4,3671.32,23.17,3.67
42,Guatemala,GTM,Latin America and Caribbean,63.77,6.12,63767597194,2.7,3923.56,63.77,3.92
43,Uzbekistan,UZB,Central and Eastern Europe,66.9,6,66903804143,7.94,2143.29,66.9,2.14
45,Japan,JPN,Eastern Asia,"4,394.98",5.99,4.39498E+12,3.33,34612.25,"4,394.98",34.61
47,Ecuador,ECU,Latin America and Caribbean,99.29,5.97,99290381000,3.62,6099.35,99.29,6.1
48,Bahrain,BHR,Middle East and Northern Africa,31.13,5.96,31125851064,1.21,22714.24,31.13,22.71
49,Italy,ITA,Western Europe,"1,832.87",5.95,1.83287E+12,11.9,30163.21,"1,832.87",30.16
50,Bolivia,BOL,Latin America and Caribbean,33,5.89,33000198263,3.07,3099.45,33,3.1
52,Paraguay,PRY,Latin America and Caribbean,36.16,5.88,36164068797,4.56,5353.08,36.16,5.35
53,Kazakhstan,KAZ,Central and Eastern Europe,184.39,5.86,1.84388E+11,4.93,10434.76,184.39,10.43
54,Slovenia,SVN,Central and Eastern Europe,43.07,5.85,43072415017,8.96,20890.3,43.07,20.89
55,Lithuania,LTU,Central and Eastern Europe,41.51,5.83,41508609233,9.12,14296.35,41.51,14.3
56,Nicaragua,NIC,Latin America and Caribbean,12.61,5.83,12611087031,4.48,2073.49,12.61,2.07
57,Peru,PER,Latin America and Caribbean,189.93,5.82,1.89927E+11,3,6150.46,189.93,6.15
58,Belarus,BLR,Central and Eastern Europe,56.45,5.81,56454734397,0.49,5941.24,56.45,5.94
59,Poland,POL,Central and Eastern Europe,476.97,5.79,4.76971E+11,7.5,12559.9,476.97,12.56
60,Malaysia,MYS,Southeastern Asia,296.64,5.77,2.96636E+11,3.1,9677.16,296.64,9.68
61,Croatia,HRV,Central and Eastern Europe,49.49,5.76,49490142433,16.18,11779.01,49.49,11.78
62,Libya,LBY,Middle East and Northern Africa,27.84,5.75,27842131486,18.36,2719.95,27.84,2.72
64,Jamaica,JAM,Latin America and Caribbean,14.15,5.71,14145469269,13.51,5029.07,14.15,5.03
