,Country,Country Code,Region,Happiness Ranking,Happiness Score,Gross GDP 2015,Unemployment Rate 2015(%) ,GDP Per Capita 2015(USD),Gross GDP 2015(USD Billion),GDP Per Capita 2015(USD in thousands) 
0,Switzerland,CHE,Western Europe,1,7.59,679289166858.236,4.80,82510.41,679.29,82.51
1,Iceland,ISL,Western Europe,2,7.56,16942247373.9704,3.98,52158.36,16.94,52.16
2,Denmark,DNK,Western Europe,3,7.53,301298464861.385,6.17,53235.65,301.30,53.24
3,Norway,NOR,Western Europe,4,7.52,386663139402.70703,4.30,74280.67,386.66,74.28
4,Canada,CAN,North America,5,7.43,1559623393038.66,6.91,43559.73,"1,559.62",43.56
5,Finland,FIN,Western Europe,6,7.41,232464833065.554,9.38,42505.91,232.46,42.51
6,Netherlands,NLD,Western Europe,7,7.38,757999453314.269,6.87,45205.77,758.00,45.21
7,Sweden,SWE,Western Europe,8,7.36,497918109302.399,7.40,50565.1,497.92,50.57
8,New Zealand,NZL,Australia and New Zealand,9,7.29,177620948761.31,5.37,37822.04,177.62,37.82
9,Australia,AUS,Australia and New Zealand,10,7.28,1349034029453.37,6.06,51404.41,"1,349.03",51.40
10,Israel,ISR,Middle East and Northern Africa,11,7.28,299093839689.55,5.25,35705.41,299.09,35.71
11,Costa Rica,CRI,Latin America and Caribbean,12,7.23,54775994478.4981,9.26,11422.6,54.78,11.42
12,Austria,AUT,Western Europe,13,7.20,382065930307.97797,5.72,44296.59,382.07,44.30
13,Mexico,MEX,Latin America and Caribbean,14,7.19,1170564619927.69,4.34,9673.64,"1,170.56",9.67
14,United States,USA,North America,15,7.12,18120714000000.0,5.28,56718.32,"18,120.71",56.72
15,Brazil,BRA,Latin America and Caribbean,16,6.98,1802214373741.32,8.44,8803.35,"1,802.21",8.80
16,Luxembourg,LUX,Western Europe,17,6.95,57784495265.4378,6.67,102696.06,57.78,102.70
17,Ireland,IRL,Western Europe,18,6.94,290617008367.572,9.40,61695.82,290.62,61.70
18,Belgium,BEL,Western Europe,19,6.94,455039563132.776,8.48,40514.1,455.04,40.51
19,United Arab Emirates,ARE,Middle East and Northern Africa,20,6.90,358135057862.492,1.93,37380.57,358.14,37.38
20,United Kingdom,GBR,Western Europe,21,6.87,2885570309160.86,5.30,44494.86,"2,885.57",44.49
21,Oman,OMN,Middle East and Northern Africa,22,6.85,68905071521.4564,3.32,18243.81,68.91,18.24
23,Singapore,SGP,Southeastern Asia,24,6.80,304097759674.134,1.69,54939.86,304.10,54.94
24,Panama,PAN,Latin America and Caribbean,25,6.79,54091713775.5634,4.53,13662.94,54.09,13.66
25,Germany,DEU,Western Europe,26,6.75,3375611100742.22,4.62,41415.17,"3,375.61",41.42
26,Chile,CHL,Latin America and Caribbean,27,6.67,243999477737.94,6.51,13548.62,244.00,13.55
27,Qatar,QAT,Middle East and Northern Africa,28,6.61,161739835164.835,0.16,66346.91,161.74,66.35
28,France,FRA,Western Europe,29,6.58,2438207896251.84,10.36,37937.85,"2,438.21",37.94
29,Argentina,ARG,Latin America and Caribbean,30,6.57,594749285413.212,7.15,14895.32,594.75,14.90
30,Czech Republic,CZE,Central and Eastern Europe,31,6.50,186829940545.75897,5.05,17728.7,186.83,17.73
31,Uruguay,URY,Latin America and Caribbean,32,6.49,53274304222.135994,7.49,15365.96,53.27,15.37
32,Colombia,COL,Latin America and Caribbean,33,6.48,293481748240.779,8.24,6088.68,293.48,6.09
33,Thailand,THA,Southeastern Asia,34,6.46,401399422442.96704,0.60,5830.64,401.40,5.83
34,Saudi Arabia,SAU,Middle East and Northern Africa,35,6.41,654269902880.0,5.59,21094.6,654.27,21.09
35,Spain,ESP,Western Europe,36,6.33,1197789902774.43,22.06,25821.78,"1,197.79",25.82
36,Malta,MLT,Western Europe,37,6.30,10554669617.5194,5.39,24036.73,10.55,24.04
38,Kuwait,KWT,Middle East and Northern Africa,39,6.29,114567298105.68301,2.20,27036.14,114.57,27.04
39,Suriname,SUR,Latin America and Caribbean,40,6.27,4767414747.88691,7.22,8507.97,4.77,8.51
40,Trinidad and Tobago,TTO,Latin America and Caribbean,41,6.17,24401734194.6814,3.39,17834.48,24.40,17.83
41,El Salvador,SLV,Latin America and Caribbean,42,6.13,23166030400.0,4.00,3671.32,23.17,3.67
