Country,Country Code,Region,Happiness Ranking,Happiness Score,Unemployment Rate 2015(%) ,Gross GDP 2015(USD Billion),GDP Per Capita 2015(USD in thousands) 
Switzerland,CHE,Western Europe,1,7.59,4.8,679.29,82.51
Iceland,ISL,Western Europe,2,7.56,3.98,16.94,52.16
Denmark,DNK,Western Europe,3,7.53,6.17,301.3,53.24
Norway,NOR,Western Europe,4,7.52,4.3,386.66,74.28
Canada,CAN,North America,5,7.43,6.91,"1,559.62",43.56
Finland,FIN,Western Europe,6,7.41,9.38,232.46,42.51
Netherlands,NLD,Western Europe,7,7.38,6.87,758,45.21
Sweden,SWE,Western Europe,8,7.36,7.4,497.92,50.57
New Zealand,NZL,Australia and New Zealand,9,7.29,5.37,177.62,37.82
Australia,AUS,Australia and New Zealand,10,7.28,6.06,"1,349.03",51.4
Israel,ISR,Middle East and Northern Africa,11,7.28,5.25,299.09,35.71
Costa Rica,CRI,Latin America and Caribbean,12,7.23,9.26,54.78,11.42
Austria,AUT,Western Europe,13,7.2,5.72,382.07,44.3
Mexico,MEX,Latin America and Caribbean,14,7.19,4.34,"1,170.56",9.67
United States,USA,North America,15,7.12,5.28,"18,120.71",56.72
Brazil,BRA,Latin America and Caribbean,16,6.98,8.44,"1,802.21",8.8
Luxembourg,LUX,Western Europe,17,6.95,6.67,57.78,102.7
Ireland,IRL,Western Europe,18,6.94,9.4,290.62,61.7
Belgium,BEL,Western Europe,19,6.94,8.48,455.04,40.51
United Arab Emirates,ARE,Middle East and Northern Africa,20,6.9,1.93,358.14,37.38
United Kingdom,GBR,Western Europe,21,6.87,5.3,"2,885.57",44.49
Oman,OMN,Middle East and Northern Africa,22,6.85,3.32,68.91,18.24
Singapore,SGP,Southeastern Asia,24,6.8,1.69,304.1,54.94
Panama,PAN,Latin America and Caribbean,25,6.79,4.53,54.09,13.66
Germany,DEU,Western Europe,26,6.75,4.62,"3,375.61",41.42
Chile,CHL,Latin America and Caribbean,27,6.67,6.51,244,13.55
Qatar,QAT,Middle East and Northern Africa,28,6.61,0.16,161.74,66.35
France,FRA,Western Europe,29,6.58,10.36,"2,438.21",37.94
Argentina,ARG,Latin America and Caribbean,30,6.57,7.15,594.75,14.9
Czech Republic,CZE,Central and Eastern Europe,31,6.5,5.05,186.83,17.73
Uruguay,URY,Latin America and Caribbean,32,6.49,7.49,53.27,15.37
Colombia,COL,Latin America and Caribbean,33,6.48,8.24,293.48,6.09
Thailand,THA,Southeastern Asia,34,6.46,0.6,401.4,5.83
Saudi Arabia,SAU,Middle East and Northern Africa,35,6.41,5.59,654.27,21.09
Spain,ESP,Western Europe,36,6.33,22.06,"1,197.79",25.82
Malta,MLT,Western Europe,37,6.3,5.39,10.55,24.04
Kuwait,KWT,Middle East and Northern Africa,39,6.29,2.2,114.57,27.04
Suriname,SUR,Latin America and Caribbean,40,6.27,7.22,4.77,8.51
Trinidad and Tobago,TTO,Latin America and Caribbean,41,6.17,3.39,24.4,17.83
El Salvador,SLV,Latin America and Caribbean,42,6.13,4,23.17,3.67
Guatemala,GTM,Latin America and Caribbean,43,6.12,2.7,63.77,3.92
Uzbekistan,UZB,Central and Eastern Europe,44,6,7.94,66.9,2.14
Japan,JPN,Eastern Asia,46,5.99,3.33,"4,394.98",34.61
Ecuador,ECU,Latin America and Caribbean,48,5.97,3.62,99.29,6.1
Bahrain,BHR,Middle East and Northern Africa,49,5.96,1.21,31.13,22.71
Italy,ITA,Western Europe,50,5.95,11.9,"1,832.87",30.16
Bolivia,BOL,Latin America and Caribbean,51,5.89,3.07,33,3.1
Paraguay,PRY,Latin America and Caribbean,53,5.88,4.56,36.16,5.35
Kazakhstan,KAZ,Central and Eastern Europe,54,5.86,4.93,184.39,10.43
Slovenia,SVN,Central and Eastern Europe,55,5.85,8.96,43.07,20.89
Lithuania,LTU,Central and Eastern Europe,56,5.83,9.12,41.51,14.3
Nicaragua,NIC,Latin America and Caribbean,57,5.83,4.48,12.61,2.07
Peru,PER,Latin America and Caribbean,58,5.82,3,189.93,6.15
Belarus,BLR,Central and Eastern Europe,59,5.81,0.49,56.45,5.94
Poland,POL,Central and Eastern Europe,60,5.79,7.5,476.97,12.56
Malaysia,MYS,Southeastern Asia,61,5.77,3.1,296.64,9.68
Croatia,HRV,Central and Eastern Europe,62,5.76,16.18,49.49,11.78
Libya,LBY,Middle East and Northern Africa,63,5.75,18.36,27.84,2.72
Jamaica,JAM,Latin America and Caribbean,65,5.71,13.51,14.15,5.03
Cyprus,CYP,Western Europe,67,5.69,14.92,19.68,23.24
Algeria,DZA,Middle East and Northern Africa,68,5.61,11.2,165.98,4.15
Turkmenistan,TKM,Central and Eastern Europe,70,5.55,3.58,35.8,6.43
Mauritius,MUS,Sub-Saharan Africa,71,5.48,7.92,11.69,9.26
Estonia,EST,Central and Eastern Europe,73,5.43,6.19,22.57,17.16
Indonesia,IDN,Southeastern Asia,74,5.4,4.51,860.85,3.37
Turkey,TUR,Middle East and Northern Africa,76,5.33,10.24,859.8,10.91
Nigeria,NGA,Sub-Saharan Africa,78,5.27,4.31,494.58,2.76
Bhutan,BTN,Southern Asia,79,5.25,2.45,2.06,2.6
Azerbaijan,AZE,Central and Eastern Europe,80,5.21,4.96,53.07,5.3
