Country Name,Region,Property Rights,Freedom from Corruption,Fiscal Freedom ,Government Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Government Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Afghanistan,Asia-Pacific,N/A,8,91.7,81.2,61.4,67.5,72.6,N/A,55,N/A,N/A,20,20,5.5,25,Afghanistan,30.6,$35.10,3.6,10.5,"$1,150.00",8.5,7.4,69.3,N/A
Albania,Europe,30,31,87.2,76.1,70.6,52.9,80.8,87.8,70,70,1.1,23,15,22.9,28.2,Albania,2.8,$26.50,0.7,2.4,"$9,506.00",16.1,1.9,"1,225.5",70.5
Algeria,Middle East / North Africa,30,36,80,38.7,66.6,50.5,71.2,60.8,25,30,12.1,35,25,12.2,45.2,Algeria,37.9,$285.50,2.7,2.8,"$7,534.00",9.8,3.3,"1,691",9.2
Angola,Sub-Saharan Africa,15,23,84.5,50.1,47.4,43.2,65.4,70.2,40,40,7.4,17,35,5.6,40.8,Angola,20.8,$130.10,4.1,3.8,"$6,247.00",8.4,8.8,"-4,284.8",26.6
Argentina,South and Central America / Caribbean,15,34,66.8,41.2,52.8,43.3,59.6,68.8,30,30,5.6,35,35,29.5,44.3,Argentina,41.5,$777.90,4.3,4.9,"$18,749.00",7.3,10.6,"9,082",46.9
Armenia,Europe,20,36,84.4,82.8,82.7,64.3,70.6,85.4,75,70,2.3,26,20,22,23.9,Armenia,3.3,$20.40,3.2,0.3,"$6,191.00",16,5.8,370,41.9
Australia,Asia-Pacific,90,81,63.7,61.8,94.1,81.6,85.3,86.4,80,90,1.8,45,30,26.5,35.7,Australia,23.2,$999.60,2.4,2.5,"$43,073.00",5.6,2.5,"49,826.2",28.8
Austria,Europe,90,69,50.1,19.8,78,76.7,80.3,88,90,70,1,50,25,43.2,51.7,Austria,8.5,$361.40,0.4,0.4,"$42,597.00",4.8,2.1,"11,082.7",74.2
Azerbaijan,Asia-Pacific,20,28,88.1,59.7,74.5,79.1,79.8,76,55,50,4.5,25,20,12.7,36.7,Azerbaijan,9.3,$102.80,5.8,4.4,"$11,044.00",5.5,2.4,"2,632",13.8
Bahamas,South and Central America / Caribbean,70,71,97.8,83.2,68.9,75.3,78.8,52.2,30,60,18.9,0,0,15,23.7,The Bahamas,0.4,$11.40,1.9,0.4,"$32,036.00",13.6,0.3,"1,110.8",56.3
Bahrain,Middle East / North Africa,60,48,99.9,73.1,72.5,83.1,74.2,78.6,65,80,5.7,0,0,3.4,29.9,Bahrain,1.2,$40.60,4.9,3.4,"$34,584.00",7.4,3.3,988.8,43.9
Bangladesh,Asia-Pacific,20,27,72.7,92,62.2,63.7,67.7,59,45,30,13,25,45,9,16.3,Bangladesh,156.3,$325.10,5.8,6.1,"$2,080.00",4.3,7.5,"1,599.1",39.7
Barbados,South and Central America / Caribbean,80,75,73.8,42.1,71.6,69.2,78.2,63.8,65,60,13.1,35,25,27.8,43.9,Barbados,0.3,$7.00,-0.7,-0.8,"$25,181.00",12.2,2.3,376.4,92
Belarus,Europe,20,29,86.4,54.7,72,80.1,44.5,81,20,10,2,12,18,29.8,38.9,Belarus,9.5,$149.10,0.9,3.2,"$15,753.00",5.9,18.3,"2,232.7",36.7
