Country ,Country Code,Indicator Name,2015,2016,2017
Aruba,ABW,GDP (current US$),2691620111.73184,2646927374.30168,2700558659.21788
Afghanistan,AFG,GDP (current US$),19907111418.9938,19046357714.4928,19543976895.4248
Angola,AGO,GDP (current US$),116193649124.475,101123851090.473,122123822333.73
Albania,ALB,GDP (current US$),11386931489.7968,11883682170.8236,13038538300.2644
Andorra,AND,GDP (current US$),2811489408.89431,2877311946.90265,3012914131.16971
Arab World,ARB,GDP (current US$),2560753811359.54,2513935702899.65,2586310796347.12
United Arab Emirates,ARE,GDP (current US$),358135057862.492,357045064669.843,382575085091.899
Argentina,ARG,GDP (current US$),594749285413.212,554860945013.62,637430331479.469
Armenia,ARM,GDP (current US$),10553337672.9872,10546135160.031,11536590635.8268
American Samoa,ASM,GDP (current US$),661000000,653000000,634000000
Antigua and Barbuda,ATG,GDP (current US$),1359194737.40741,1464630213.33333,1510084750.74074
Australia,AUS,GDP (current US$),1349034029453.37,1208039015868.39,1323421072479.07
Austria,AUT,GDP (current US$),382065930307.978,390799991147.468,416595666396.636
Azerbaijan,AZE,GDP (current US$),53074370486.0433,37867518957.1975,40747792237.9735
Burundi,BDI,GDP (current US$),3104394858.11518,2959185295.39019,3172416146.3921
Belgium,BEL,GDP (current US$),455039563132.776,467545548764.571,492681283049.248
Benin,BEN,GDP (current US$),8291155880.59505,8573159696.61128,9246696923.66155
Burkina Faso,BFA,GDP (current US$),10419303761.3524,10886363726.8422,12322864244.9183
Bangladesh,BGD,GDP (current US$),195078678697.23,221415188000.475,249723862487.361
Bulgaria,BGR,GDP (current US$),50201314894.5817,53240950226.2443,58220973782.7715
Bahrain,BHR,GDP (current US$),31125851063.8298,32152686170.2128,35307127659.5745
"Bahamas, The",BHS,GDP (current US$),11792300000,11838800000,12162100000
Bosnia and Herzegovina,BIH,GDP (current US$),16209702863.6235,16911088173.7458,18054854788.5214
Belarus,BLR,GDP (current US$),56454734396.5842,47749057078.1996,54456465472.6162
Belize,BLZ,GDP (current US$),1762500450,1806646250,1862614800
Bermuda,BMU,GDP (current US$),,,
Bolivia,BOL,GDP (current US$),33000198263.3864,33941126193.9219,37508642112.8799
Brazil,BRA,GDP (current US$),1802214373741.32,1793989048409.29,2055505502224.73
Barbados,BRB,GDP (current US$),4584150000,4529050000,4673500000
Brunei Darussalam,BRN,GDP (current US$),12930394937.8137,11400653949.1783,12128089001.5858
Bhutan,BTN,GDP (current US$),2059809919.89325,2219675780.89539,2528007911.35353
Botswana,BWA,GDP (current US$),14406496463.6055,15648632361.5749,17406565823.2986
Central African Republic,CAF,GDP (current US$),1583776805.96568,1755468136.86556,1949411659.20453
Canada,CAN,GDP (current US$),1559623393038.66,1535767736946.18,1653042795255.04
Central Europe and the Baltics,CEB,GDP (current US$),1285887062843.63,1314649428199.32,1454536913148.29
Switzerland,CHE,GDP (current US$),679289166858.236,668745279604.532,678887336848.252
Channel Islands,CHI,GDP (current US$),,,
Chile,CHL,GDP (current US$),243999477737.94,250036180921.053,277075944401.941
China,CHN,GDP (current US$),11064666282625.5,11190992550229.5,12237700479375
Cote d'Ivoire,CIV,GDP (current US$),39633467835.725,35389998638.9371,37353276059.2518
Cameroon,CMR,GDP (current US$),30916218544.4404,32621535418.9031,34922782310.6416
"Congo, Dem. Rep.",COD,GDP (current US$),37917704900.0794,37134799974.5225,37642482562.3205
"Congo, Rep.",COG,GDP (current US$),8553154580.39951,9035848070.90357,8701334800.21976
Colombia,COL,GDP (current US$),293481748240.779,282856115393.175,314457601859.523
Comoros,COM,GDP (current US$),988150249.533688,1024261820.6281,1068124329.86257
Cabo Verde,CPV,GDP (current US$),1596800287.16405,1663008687.09505,1772706451.18085
Costa Rica,CRI,GDP (current US$),54775994478.4981,57157992434.219,57285984447.7113
Caribbean small states,CSS,GDP (current US$),70862033353.6265,67665555626.4245,68823642409.779
Cuba,CUB,GDP (current US$),87133000000,91370000000,96851000000
Curacao,CUW,GDP (current US$),,,
Cayman Islands,CYM,GDP (current US$),,,
Cyprus,CYP,GDP (current US$),19680625485.1946,20453761061.9469,22054225828.2623
Czech Republic,CZE,GDP (current US$),186829940545.759,195305084919.138,215725534372.371
Germany,DEU,GDP (current US$),3375611100742.22,3477796274496.8,3677439129776.6
Djibouti,DJI,GDP (current US$),1633741922.68737,1764268468.93991,1844674434.50371
Dominica,DMA,GDP (current US$),540830666.666667,575468222.222222,496727000
Denmark,DNK,GDP (current US$),301298464861.385,306899653409.601,324871968807.469
