,Country,Region_x,Happiness Score,"GDP (Billions, PPP)",GDP per Capita (PPP),Unemployment (%),Income Tax Rate (%),Freedom from Corruption,Fiscal Freedom ,Government Spending,Tariff Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Government Expenditure % of GDP ,Population (Millions),GDP Growth Rate (%),5 Year GDP Growth Rate (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Property Rights
1,Albania,Europe,4.959,0.27,9.51,16.1,23.0,31.0,87.2,76.1,1.1,15.0,22.9,28.2,2.8,0.7,2.4,1.9,1225.5,70.5,70.6,52.9,80.8,87.8,70.0,70.0,30.0
2,Algeria,Middle East / North Africa,5.605,2.85,7.53,9.8,35.0,36.0,80.0,38.7,12.1,25.0,12.2,45.2,37.9,2.7,2.8,3.3,1691.0,9.2,66.6,50.5,71.2,60.8,25.0,30.0,30.0
3,Angola,Sub-Saharan Africa,4.033,1.3,6.25,8.4,17.0,23.0,84.5,50.1,7.4,35.0,5.6,40.8,20.8,4.1,3.8,8.8,-4284.8,26.6,47.4,43.2,65.4,70.2,40.0,40.0,15.0
4,Argentina,South and Central America / Caribbean,6.574,7.78,18.75,7.3,35.0,34.0,66.8,41.2,5.6,35.0,29.5,44.3,41.5,4.3,4.9,10.6,9082.0,46.9,52.8,43.3,59.6,68.8,30.0,30.0,15.0
5,Armenia,Europe,4.35,0.2,6.19,16.0,26.0,36.0,84.4,82.8,2.3,20.0,22.0,23.9,3.3,3.2,0.3,5.8,370.0,41.9,82.7,64.3,70.6,85.4,75.0,70.0,20.0
6,Australia,Asia-Pacific,7.284,10.0,43.07,5.6,45.0,81.0,63.7,61.8,1.8,30.0,26.5,35.7,23.2,2.4,2.5,2.5,49826.2,28.8,94.1,81.6,85.3,86.4,80.0,90.0,90.0
7,Austria,Europe,7.2,3.61,42.6,4.8,50.0,69.0,50.1,19.8,1.0,25.0,43.2,51.7,8.5,0.4,0.4,2.1,11082.7,74.2,78.0,76.7,80.3,88.0,90.0,70.0,90.0
8,Azerbaijan,Asia-Pacific,5.212000000000001,1.03,11.04,5.5,25.0,28.0,88.1,59.7,4.5,20.0,12.7,36.7,9.3,5.8,4.4,2.4,2632.0,13.8,74.5,79.1,79.8,76.0,55.0,50.0,20.0
10,Bahrain,Middle East / North Africa,5.96,0.41,34.58,7.4,0.0,48.0,99.9,73.1,5.7,0.0,3.4,29.9,1.2,4.9,3.4,3.3,988.8,43.9,72.5,83.1,74.2,78.6,65.0,80.0,60.0
11,Bangladesh,Asia-Pacific,4.694,3.25,2.08,4.3,25.0,27.0,72.7,92.0,13.0,45.0,9.0,16.3,156.3,5.8,6.1,7.5,1599.1,39.7,62.2,63.7,67.7,59.0,45.0,30.0,20.0
