Country,Freedom from Corruption,Business Freedom,Labor Freedom,Financial Freedom,Investment Freedom ,Monetary Freedom,score,total,rank
Turkmenistan,17.0,30.0,20.0,10.0,0.0,64.2,5.547999999999999,146.748,
Venezuela,20.0,41.6,24.2,20.0,0.0,42.8,6.81,155.41,
Zimbabwe,21.0,37.1,23.7,10.0,0.0,75.4,4.61,171.81,
Iran,25.0,57.0,51.3,10.0,0.0,48.7,4.686,196.686,
Libya,15.0,46.8,66.7,20.0,5.0,71.4,5.754,230.654,
Uzbekistan,17.0,73.1,64.2,10.0,0.0,63.5,6.002999999999999,233.803,
Bolivia,34.0,53.7,25.5,40.0,10.0,69.7,5.89,238.78999999999996,
Central African Republic,25.0,27.2,37.5,30.0,45.0,69.6,3.678,237.97799999999998,
Nepal,31.0,65.7,44.3,30.0,5.0,70.5,4.513999999999999,251.014,
Argentina,34.0,52.8,43.3,30.0,30.0,59.6,6.574,256.274,
Ethiopia,33.0,55.9,56.4,20.0,20.0,66.1,4.512,255.912,
Chad,19.0,27.1,47.7,40.0,45.0,75.6,3.667,258.067,
Belarus,29.0,72.0,80.1,10.0,20.0,44.5,5.813,261.413,
Ukraine,25.0,59.3,48.2,30.0,15.0,78.6,4.681,260.781,
Tajikistan,22.0,65.4,46.4,30.0,25.0,69.6,4.7860000000000005,263.186,
Angola,23.0,47.4,43.2,40.0,40.0,65.4,4.033,263.033,
Laos,26.0,59.5,57.1,20.0,30.0,74.5,4.876,271.976,
Vietnam,31.0,61.5,62.9,30.0,15.0,66.8,5.36,272.56,
India,36.0,43.3,48.7,40.0,35.0,65.3,4.565,272.865,
Sierra Leone,30.0,53.4,41.6,20.0,55.0,68.5,4.507,273.007,
Haiti,19.0,43.1,63.7,30.0,40.0,73.5,4.518,273.818,
Liberia,38.0,60.1,43.9,20.0,40.0,72.7,4.571000000000001,279.271,
Cameroon,25.0,41.6,47.8,50.0,35.0,75.6,4.252,279.252,
Comoros,28.0,47.3,52.0,30.0,40.0,77.9,3.9560000000000004,279.15600000000006,
Ecuador,35.0,51.4,51.3,40.0,30.0,68.2,5.975,281.875,
Yemen,18.0,54.0,57.1,30.0,50.0,68.5,4.077,281.677,
Algeria,36.0,66.6,50.5,30.0,25.0,71.2,5.605,284.90500000000003,
Russia,28.0,76.3,58.9,30.0,25.0,63.9,5.716,287.816,
China,40.0,52.1,63.0,30.0,25.0,74.2,5.14,289.44,
Togo,29.0,51.9,43.4,30.0,50.0,80.4,2.839,287.53900000000004,
Niger,34.0,39.2,40.9,40.0,55.0,81.3,3.845,294.245,
Bangladesh,27.0,62.2,63.7,30.0,45.0,67.7,4.694,300.29400000000004,
Guinea,24.0,51.6,74.4,40.0,40.0,66.7,3.656,300.356,
Pakistan,28.0,65.6,42.1,40.0,50.0,71.2,5.194,302.094,
Suriname,36.0,42.2,81.9,30.0,30.0,77.2,6.269,303.569,
Mauritania,30.0,50.5,52.1,40.0,50.0,76.6,4.436,303.63599999999997,
Cambodia,20.0,29.2,62.2,50.0,60.0,78.7,3.819,303.91900000000004,
Mozambique,30.0,60.9,37.9,50.0,40.0,82.0,4.971,305.771,
Nigeria,25.0,48.3,77.7,40.0,40.0,70.4,5.268,306.66799999999995,
Honduras,26.0,53.2,28.0,60.0,60.0,75.4,4.788,307.38800000000003,
Indonesia,32.0,49.3,48.7,60.0,40.0,74.9,5.399,310.299,
Mali,28.0,47.2,50.7,40.0,60.0,81.1,3.995,310.995,
Malawi,37.0,49.1,63.1,50.0,55.0,53.8,4.292,312.292,
Egypt,32.0,65.4,53.6,40.0,50.0,67.4,4.194,312.594,
Burundi,21.0,61.4,68.1,30.0,60.0,69.8,2.905,313.205,
Kenya,27.0,47.9,63.8,50.0,50.0,72.8,4.419,315.919,
Senegal,41.0,54.6,39.5,40.0,60.0,83.0,3.904,322.004,
Moldova,35.0,66.8,40.6,50.0,50.0,76.1,5.888999999999999,324.389,
Tanzania,33.0,45.0,61.4,50.0,60.0,69.7,3.781,322.88100000000003,
Paraguay,24.0,58.4,26.3,60.0,75.0,78.3,5.877999999999999,327.878,
Bhutan,63.0,61.9,81.1,30.0,20.0,66.0,5.252999999999999,327.253,
Nicaragua,28.0,58.0,56.7,50.0,65.0,67.8,5.827999999999999,331.328,
Guatemala,29.0,54.7,50.6,50.0,65.0,76.8,6.122999999999999,332.223,
Brazil,42.0,53.6,52.1,60.0,50.0,69.4,6.983,334.083,
Lesotho,49.0,54.7,63.9,40.0,45.0,75.2,4.898,332.69800000000004,
Gabon,34.0,57.9,64.3,40.0,55.0,78.4,3.8960000000000004,333.49600000000004,
Burkina Faso,38.0,49.6,57.8,40.0,65.0,80.0,3.5869999999999997,333.98699999999997,
Zambia,38.0,68.2,46.0,50.0,55.0,73.2,5.129,335.529,
Dominican Republic,29.0,53.5,57.5,40.0,75.0,76.0,4.885,335.885,
Tunisia,41.0,81.2,69.1,30.0,35.0,74.8,4.739,335.839,
Uganda,26.0,43.3,87.5,40.0,60.0,76.3,3.931,337.031,
Lebanon,28.0,54.7,60.7,60.0,60.0,72.0,4.8389999999999995,340.239,
Swaziland,39.0,60.5,69.3,40.0,55.0,73.9,4.867,342.56700000000006,
Saudi Arabia,46.0,65.8,72.7,50.0,40.0,68.4,6.4110000000000005,349.311,
Benin,36.0,55.2,53.2,50.0,70.0,79.9,3.34,347.63999999999993,
Kuwait,43.0,58.6,64.2,50.0,55.0,74.0,6.295,351.095,
Thailand,35.0,72.5,63.5,60.0,45.0,69.9,6.455,352.35499999999996,
Philippines,36.0,55.3,58.2,60.0,60.0,78.8,5.073,353.373,
Morocco,37.0,68.8,33.4,60.0,70.0,81.9,5.013,356.113,
Kazakhstan,26.0,73.7,87.0,50.0,40.0,74.6,5.855,357.155,
Greece,40.0,73.3,51.6,50.0,60.0,77.8,4.857,357.557,
Ghana,46.0,62.5,56.9,60.0,65.0,69.2,4.633,364.23299999999995,
South Africa,42.0,73.0,61.6,60.0,50.0,74.9,4.6419999999999995,366.142,
Trinidad and Tobago,38.0,65.3,76.6,50.0,60.0,74.3,6.167999999999999,370.368,
Azerbaijan,28.0,74.5,79.1,50.0,55.0,79.8,5.212000000000001,371.612,
Croatia,48.0,55.8,42.8,60.0,80.0,80.0,5.7589999999999995,372.35900000000004,
Serbia,42.0,57.8,70.4,50.0,75.0,72.2,5.122999999999999,372.52299999999997,
Costa Rica,53.0,64.5,54.6,50.0,70.0,75.8,7.226,375.12600000000003,
