,Country,Happiness Score,Happiness Rank,2015
0,Switzerland,7.5870000000000015,1,57.51696
1,Iceland,7.561,2,75.76606
2,Denmark,7.527,3,82.13379
3,Norway,7.522,4,77.95804
4,Canada,7.427,5,65.28307
5,Finland,7.4060000000000015,6,87.68063000000001
6,Netherlands,7.377999999999999,7,80.56791
7,Sweden,7.364,8,62.28411
8,New Zealand,7.286,9,80.56338000000001
9,Australia,7.284,10,119.69452
10,Israel,7.278,11,64.74824
11,Costa Rica,7.226,12,53.62966
12,Austria,7.2,13,80.56430999999999
13,Mexico,7.187,14,30.794320000000003
14,United States,7.119,15,88.88941
15,Brazil,6.983,16,51.05413
16,Luxembourg,6.9460000000000015,17,19.70736
17,Ireland,6.94,18,77.23215
18,Belgium,6.937,19,74.55778000000001
19,United Arab Emirates,6.901,20,
20,United Kingdom,6.867000000000001,21,57.29489
21,Oman,6.853,22,40.02466
22,Venezuela,6.81,23,
23,Singapore,6.797999999999999,24,
24,Panama,6.7860000000000005,25,47.27063
25,Germany,6.75,26,66.27722
26,Chile,6.67,27,88.34568
27,Qatar,6.6110000000000015,28,14.51808
28,France,6.575,29,62.773630000000004
29,Argentina,6.574,30,85.95886999999999
30,Czech Republic,6.505,31,64.45735
31,Uruguay,6.485,32,55.566269999999996
32,Colombia,6.477,33,55.65726
33,Thailand,6.455,34,
34,Saudi Arabia,6.4110000000000005,35,60.5626
35,Spain,6.329,36,89.48473
36,Malta,6.3020000000000005,37,47.42187
37,Taiwan,6.297999999999999,38,
38,Kuwait,6.295,39,
39,Suriname,6.269,40,
40,Trinidad and Tobago,6.167999999999998,41,
41,El Salvador,6.13,42,28.08398
42,Guatemala,6.122999999999998,43,21.28229
43,Uzbekistan,6.002999999999999,44,8.19712
44,Slovakia,5.995,45,
45,Japan,5.987,46,63.23758
46,South Korea,5.984,47,
47,Ecuador,5.975,48,45.54913
48,Bahrain,5.96,49,43.261309999999995
49,Italy,5.948,50,62.87291
50,Bolivia,5.89,51,
51,Moldova,5.8889999999999985,52,41.21348
52,Paraguay,5.877999999999999,53,
53,Kazakhstan,5.855,54,45.83258
54,Slovenia,5.848,55,80.04786999999999
55,Lithuania,5.832999999999998,56,69.74054
56,Nicaragua,5.8279999999999985,57,
57,Peru,5.824,58,
58,Belarus,5.813,59,88.24401999999999
59,Poland,5.791,60,66.67103
60,Malaysia,5.77,61,42.37377
61,Croatia,5.759,62,66.9972
62,Libya,5.754,63,
63,Russia,5.716,64,
64,Jamaica,5.709,65,26.879170000000002
65,North Cyprus,5.695,66,
66,Cyprus,5.689,67,60.10123000000001
67,Algeria,5.605,68,36.8185
68,Kosovo,5.589,69,
69,Turkmenistan,5.547999999999999,70,
70,Mauritius,5.477,71,37.415279999999996
71,Hong Kong,5.474,72,
72,Estonia,5.4289999999999985,73,72.04896
73,Indonesia,5.399,74,
