Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan,AFG,..,..,9.81848731,8.56967118,8.56190731,7.89716844,8.8059641,9.6523559,10.29759481,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Albania,ALB,..,6.76132337,5.10230605,5.03476136,5.63434989,5.8607223,6.34386088,6.9565315,6.82443871,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Algeria,DZA,..,3.48902103,5.35939813,5.11716997,5.26764985,6.00084141,6.03493093,6.54192588,7.05668786,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Andorra,AND,..,9.34810142,10.89586944,11.56620393,11.82564064,12.09021338,14.1583755,12.03078576,11.97477605,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Angola,AGO,..,2.50364987,3.58452225,2.74149872,2.84313911,2.66495273,2.99269854,2.799603,2.94697845,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Antigua and Barbuda,ATG,..,4.06358087,4.74817518,5.54808738,5.73013736,5.09503945,5.36221691,5.67570032,4.8439976,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Argentina,ARG,..,5.03325842,6.99700605,6.75599601,6.3430355,6.25796402,6.38798122,6.4076248,6.83453274,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Armenia,ARM,..,6.5052226,4.68904566,5.2641816,3.77726009,6.71185962,8.26983927,7.04152649,10.14083813,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Australia,AUS,..,7.6033117,8.58760162,8.46778244,8.58572447,8.72550204,8.80584355,9.07924999,9.44533327,..,..,..
