"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.37560574","86.06919176","84.527591","78.97008684","76.82497587","78.16998663","75.40338818","72.77924343","78.99665105","73.25516892","74.48620936","72.04786271","73.0559213","78.38229648","","","",
"Angola","AGO","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.00984887","39.80476227","47.67966","45.93369056","44.54265626","39.75497308","28.6662658","28.34114838","21.62640456","15.4836034","19.32270865","17.97775296","17.58494104","21.33672806","26.84926478","33.3877968","","","",
"Albania","ALB","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.61812282","63.30567259","64.11598815","60.04996119","54.37229782","52.46653503","52.01092656","54.3782796","50.31221392","42.49577012","47.77721308","48.32571662","52.87143352","55.15620177","55.91147686","56.92546989","","","",
"Andorra","AND","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.89478832","47.42711324","46.55177372","47.09025522","47.27248371","44.23328321","44.21609269","43.56980134","40.80273707","38.61605643","37.1191822","36.66748586","36.47407051","30.91053493","36.60632349","36.39415667","","","",
"Arab World","ARB","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6105685332205","35.7177830960815","36.2604675010652","35.5087208658517","35.3077423099199","34.8802343956972","34.2084804633175","34.7096403071987","34.7806710638097","31.6102476575039","33.3108672640714","31.0062770377543","31.7216355521302","30.9208563523623","29.0573551209681","31.5203736493252","","","",
"United Arab Emirates","ARE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.08343466","15.08593253","28.04150794","27.45692938","30.40837998","30.13919123","29.70960616","28.87625155","25.13651827","16.10036892","17.94574429","16.88403734","16.73880396","17.15579433","17.80782661","17.78964985","","","",
"Argentina","ARG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.05465574","49.11223003","48.41631786","33.7957229","34.13302332","39.49516446","37.19679484","34.71809573","31.37312065","29.02464724","25.14125301","23.83620346","19.06705751","19.01566519","18.79423677","17.62807614","","","",
"Armenia","ARM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.35529339","63.41492343","65.24244072","68.55632432","77.92576479","72.41735996","63.00452452","61.73206674","59.17398927","54.70512027","62.1307487","46.27378409","71.29481328","78.21917099","74.6771409","81.62987756","","","",
"American Samoa","ASM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.74418605","27.65957447","27.15184161","28.52911286","29.70147367","26.13582259","24.57659906","23.29594334","22.39553733","24.41251724","23.17865676","22.44996294","25.27741367","24.33895722","21.14042048","24.25267908","","","",
"Australia","AUS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.99717685","20.43904871","19.91993963","19.1476338","19.21872515","19.64306381","19.74943273","19.00256784","19.04160957","19.05282986","19.7492765","19.17248508","19.93432788","19.71550207","19.55829502","","","","",
"Austria","AUT","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.82221922","18.46295775","18.61328643","18.88836898","18.59364815","18.56121442","18.2434422","18.2031812","17.47579874","17.40195828","17.71909569","17.83199796","17.82752685","18.23888657","18.07799852","17.9240277","","","",
"Azerbaijan","AZE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.02137749","76.74212364","78.37601283","84.72153997","85.24080889","87.54094077","84.12434894","78.38622938","78.42306478","74.32594901","75.20673088","73.0156917","72.59938018","73.44084622","75.57465592","78.62708766","","","",
"Burundi","BDI","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.67652359","43.00583782","43.69565998","44.35223496","36.43239095","39.73262657","37.83359429","37.12494701","35.37757252","31.05252062","28.20030608","24.60705498","22.40234724","20.86187022","21.62912442","19.0665516","","","",
"Belgium","BEL","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.65604108","18.74855396","18.10151131","18.75898055","19.2340214","18.47504133","18.29100069","18.30431069","18.30353855","17.96744472","18.13393393","18.15579792","17.56719221","","","",
"Benin","BEN","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.97557083","49.38781303","52.35353751","52.8327382","50.93735973","50.89409454","50.30029517","48.92545027","47.19408066","45.97591774","44.83201048","43.45280562","37.41546462","42.31209265","44.0125428","40.49658741","","","",
"Burkina Faso","BFA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.16008134","42.72938466","38.27582797","33.38692707","30.43884064","30.7122559","30.85259902","27.39347176","30.95700956","31.44069108","30.16873262","33.06054437","34.2684263","34.15064882","34.11343656","36.10666345","","","",
"Bangladesh","BGD","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.09532405","65.14016112","62.29359102","62.38762927","62.50523731","64.85485995","65.07526493","65.81632735","67.16354026","67.23670186","67.2104023","67.3722294","67.46909905","68.51466512","69.93145731","71.81633672","","","",
"Bulgaria","BGR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.37570139","43.70612921","39.79439562","38.06082961","39.20325986","38.86741293","42.64740564","42.59270155","42.62918785","44.36734393","43.14134283","44.51131156","47.86440396","47.16653996","45.81277224","47.66826791","","","",
"Bahrain","BHR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.77478641","23.41819697","23.50124597","23.35854198","24.20800043","23.09401328","22.24195419","20.55369978","19.0345576","19.10227186","19.51413794","20.07428529","26.78308437","26.94701685","25.2442989","25.09934163","","","",
"Bahamas, The","BHS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3622291","21.14803625","23.07692308","25.06527415","26.61870504","29.86725664","27.91127542","30.17241379","29.33333333","28.25342466","28.86247878","28.68988391","29.01716069","29.14012739","31.04","27.7607362","","","",
"Bosnia and Herzegovina","BIH","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.61679418","39.48892785","36.71559202","30.38417219","42.49550671","45.11312481","44.92145191","44.18597104","43.67843635","30.54391213","29.99481546","29.44519978","29.17785103","28.96248703","28.70711623","28.63505703","","","",
"Belarus","BLR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.01373017","20.72087122","23.02361052","20.16473489","19.222986","21.78304154","24.38873666","25.79533789","29.83945204","29.83541196","20.94691392","28.16558539","29.50257373","32.35409982","33.30724226","34.54332662","","","",
"Belize","BLZ","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.33203533","34.73211016","36.09428468","34.41053499","34.53831016","32.26618869","29.18124395","26.56213064","26.12113141","24.60153808","23.77611143","23.32537434","24.0396041","24.35958853","23.97529799","22.65351825","","","",
"Bermuda","BMU","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.73591182","32.39293495","33.25245065","31.16046669","31.71501453","30.47652817","31.15550619","29.56644497","29.21820261","28.81768504","31.90131858","31.04760653","32.71595725","33.41589783","29.49060231","25.92191462","","","",
"Brazil","BRA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.42684251","37.54445716","36.05033583","35.40688187","35.16860676","35.84711099","34.33046572","33.06390944","30.84493548","31.12651708","29.28087995","29.19081818","29.37759733","28.13558765","28.0617721","28.28982309","","","",
