Country Name,Country Code,Total Cellular Subscriptions,Total Broadband Subscriptions
Aruba,ABW,141000,19000
Afghanistan,AFG,19709038,7067
Angola,AGO,13884532,153571
Albania,ALB,3400955,242870
Andorra,AND,71336,30694
Arab World,ARB,417195555,16604050
United Arab Emirates,ARE,17942560,1234447
Argentina,ARG,61842011,6855837
Armenia,ARM,3464490,286319
American Samoa,ASM,,
Antigua and Barbuda,ATG,176000,10000
Australia,AUS,25770000,6828000
Austria,AUT,13470623,2455500
Azerbaijan,AZE,10697132,1899456
Burundi,BDI,4997696,3639
Belgium,BEL,12774090,4121049
Benin,BEN,9317955,73263
Burkina Faso,BFA,14446897,7210
Bangladesh,BGD,131375724,4892940
Bulgaria,BGR,9194633,1614541
Bahrain,BHR,2519055,253041
"Bahamas, The",BHS,311175,81018
Bosnia and Herzegovina,BIH,3443520,634987
Belarus,BLR,11448281,2903497
Belize,BLZ,211946,17379
Bermuda,BMU,38000,30000
Bolivia,BOL,10162829,180951
Brazil,BRA,257814274,25482478
Barbados,BRB,334792,78269
Brunei Darussalam,BRN,463384,34425
Bhutan,BTN,675747,27874
Botswana,BWA,3475327,36845
Central African Republic,CAF,1242494,900
Canada,CAN,29765000,13030000
Central Europe and the Baltics,CEB,133214981,23352642
Switzerland,CHE,11243210,3700563
Channel Islands,CHI,,
Chile,CHL,23206353,2719439
China,CHN,1291984200,277046000
Cote d'Ivoire,CIV,25407610,109707
Cameroon,CMR,18160667,16000
"Congo, Dem. Rep.",COD,37752782,1000
"Congo, Rep.",COG,5216000,
Colombia,COL,57327470,5525763
Comoros,COM,424786,1600
Cabo Verde,CPV,611468,16568
Costa Rica,CRI,7535599,558656
Caribbean small states,CSS,8158698,897134
Cuba,CUB,3335346,8157
Curacao,CUW,190489,40000
Cayman Islands,CYM,93244,27383
Cyprus,CYP,1111123,260640
Czech Republic,CZE,12454575.01,2946626
Germany,DEU,96360000,30707429
Djibouti,DJI,314350,24165
Dominica,DMA,77254,15159
Denmark,DNK,7079249,2404962
Dominican Republic,DOM,8797247,686107
Algeria,DZA,43227643,2269348
East Asia & Pacific (excluding high income),EAP,2094811408,301260622
Early-demographic dividend,EAR,2788307228,95414989
East Asia & Pacific,EAS,2403227088,378239750
Europe & Central Asia (excluding high income),ECA,519930476,60510279
Europe & Central Asia,ECS,1124831545,224265513
Ecuador,ECU,12943791,1487592
"Egypt, Arab Rep.",EGY,94016152,3826410
Euro area,EMU,405582487,113421671
Eritrea,ERI,475000,500
Spain,ESP,51067770,13542906
Estonia,EST,1903545,384129
Ethiopia,ETH,42311629,478000
European Union,EUU,620059260,163803213
Fragile and conflict affected situations,FCS,340301346,3354666
Finland,FIN,7396200,1729897
Fiji,FJI,965950,12734
France,FRA,66681000,26867000
Faroe Islands,FRO,53213,17792
"Micronesia, Fed. Sts.",FSM,22505,3277
Gabon,GAB,2821555,11082
United Kingdom,GBR,79250793,24686486
Georgia,GEO,5550730,662862
Ghana,GHA,35008387,73132
Gibraltar,GIB,41441,15577
Guinea,GIN,10764000,1000
"Gambia, The",GMB,2715672,3573
Guinea-Bissau,GNB,1238493,1051
Equatorial Guinea,GNQ,533336,3799
Greece,GRC,12566649,3439034
Grenada,GRD,119767,19757
Greenland,GRL,61000,10000
Guatemala,GTM,18121390,459847
Guam,GUM,,
Guyana,GUY,542598,53687
High income,HIC,1528821332,375955342
"Hong Kong SAR, China",HKG,16724440,2347833
Honduras,HND,8048388,197379
Heavily indebted poor countries (HIPC),HPC,483957049,1964051
Croatia,HRV,4415660,986215
Haiti,HTI,7300000,1348
Hungary,HUN,11785806,2718794
IBRD only,IBD,4687323468,468365362
IDA & IBRD total,IBT,5800445669,481657618
IDA total,IDA,1113122201,13292256
IDA blend,IDB,385190611,4765909
Indonesia,IDN,338948340,3983000
IDA only,IDX,727931590,8526347
Isle of Man,IMN,,
India,IND,1001056000,16942750
Not classified,INX,,
Ireland,IRL,4902009,1309467
"Iran, Islamic Rep.",IRN,74218815,6608662
Iraq,IRQ,33559000,
Iceland,ISL,383919,124436
Israel,ISR,10570000,2173000
Italy,ITA,87691238,14900171
Jamaica,JAM,3137213,228890
Jordan,JOR,13797968,320205
Japan,JPN,160559734,38872579
Kazakhstan,KAZ,26309300,2301000
Kenya,KEN,37715944,135107
Kyrgyz Republic,KGZ,7579439,211521
Cambodia,KHM,20850543,83504
Kiribati,KIR,41000,117
St. Kitts and Nevis,KNA,73009,16376
"Korea, Rep.",KOR,58935081,20024419
Kuwait,KWT,5846335,55000
Latin America & Caribbean (excluding high income),LAC,591554560,55048619
Lao PDR,LAO,3727162,12316
Lebanon,LBN,4657651,1283258
Liberia,LBR,3652000,7000
Libya,LBY,9747080,61000
St. Lucia,LCA,187741,28426
Latin America & Caribbean,LCN,694215598,67069502
Least developed countries: UN classification,LDC,635569142,7151957
Low income,LIC,415056422,2751965
Liechtenstein,LIE,40950,15696
Sri Lanka,LKA,23899642,625917
Lower middle income,LMC,2557191275,54643489
Low & middle income,LMY,5653098988,462576595
Lesotho,LSO,2140141,2062
Late-demographic dividend,LTE,2446224202,386724508
Lithuania,LTU,4184053,833298
Luxembourg,LUX,806800,195300
Latvia,LVA,2590000,503503
"Macao SAR, China",MAC,1896097,169939
St. Martin (French part),MAF,,
Morocco,MAR,43079696,1147533
Monaco,MCO,34020,18354
Moldova,MDA,3713137,534393
Madagascar,MDG,10693765,23694
Maldives,MDV,739790,23175
Middle East & North Africa,MEA,464664755,25427996
Mexico,MEX,107688282,14757686
Marshall Islands,MHL,15500,1000
Middle income,MIC,5238042566,459824630
North Macedonia,MKD,2083583,362421
Mali,MLI,22698915,3499
Malta,MLT,524161,163205
Myanmar,MMR,40993717,32921
Middle East & North Africa (excluding high income),MNA,364079454,17513319
