Country Name,Country Code,% of Internet Users
Aruba,ABW,88.66
Afghanistan,AFG,8.26
Angola,AGO,12.4
Albania,ALB,63.25
Andorra,AND,96.91
Arab World,ARB,39.93
United Arab Emirates,ARE,90.5
Argentina,ARG,68.04
Armenia,ARM,59.1
American Samoa,ASM,
Antigua and Barbuda,ATG,70
Australia,AUS,84.56
Austria,AUT,83.94
Azerbaijan,AZE,77
Burundi,BDI,4.87
Belgium,BEL,85.05
Benin,BEN,11.25
Burkina Faso,BFA,11.39
Bangladesh,BGD,14.4
Bulgaria,BGR,56.66
Bahrain,BHR,93.48
"Bahamas, The",BHS,78
Bosnia and Herzegovina,BIH,52.6
Belarus,BLR,67.3
Belize,BLZ,41.59
Bermuda,BMU,98.32
Bolivia,BOL,35.56
Brazil,BRA,58.33
Barbados,BRB,76.11
Brunei Darussalam,BRN,71.2
Bhutan,BTN,39.8
Botswana,BWA,37.31
Central African Republic,CAF,3.8
Canada,CAN,88.47
Central Europe and the Baltics,CEB,67.36
Switzerland,CHE,87.48
Channel Islands,CHI,
Chile,CHL,76.63
China,CHN,50.3
Cote d'Ivoire,CIV,38.44
Cameroon,CMR,20.68
"Congo, Dem. Rep.",COD,3.8
"Congo, Rep.",COG,7.62
Colombia,COL,55.9
Comoros,COM,7.46
Cabo Verde,CPV,42.68
Costa Rica,CRI,59.76
Caribbean small states,CSS,50.9
Cuba,CUB,37.31
Curacao,CUW,
Cayman Islands,CYM,77
Cyprus,CYP,71.72
Czech Republic,CZE,75.67
Germany,DEU,87.59
Djibouti,DJI,11.92
Dominica,DMA,65
Denmark,DNK,96.33
Dominican Republic,DOM,54.22
Algeria,DZA,38.2
East Asia & Pacific (excluding high income),EAP,45.21
Early-demographic dividend,EAR,30.33
East Asia & Pacific,EAS,49.84
Europe & Central Asia (excluding high income),ECA,58.86
Europe & Central Asia,ECS,70.11
Ecuador,ECU,48.94
"Egypt, Arab Rep.",EGY,37.82
Euro area,EMU,77.51
Eritrea,ERI,1.08
Spain,ESP,78.69
Estonia,EST,88.41
Ethiopia,ETH,13.86
European Union,EUU,77.79
