Country Name,Country Code,Total Population
Afghanistan,AFG,33736494
Albania,ALB,2880703
Algeria,DZA,39871528
American Samoa,ASM,55537
Andorra,AND,78014
Angola,AGO,27859305
Antigua and Barbuda,ATG,99923
Argentina,ARG,43417765
Armenia,ARM,2916950
Aruba,ABW,104341
Australia,AUS,23850784
Austria,AUT,8642699
Azerbaijan,AZE,9649341
"Bahamas, The",BHS,386838
Bahrain,BHR,1371855
Bangladesh,BGD,161200886
Barbados,BRB,284217
Belarus,BLR,9489616
Belgium,BEL,11274196
Belize,BLZ,359288
Benin,BEN,10575952
Bermuda,BMU,65239
Bhutan,BTN,787386
Bolivia,BOL,10724705
Bosnia and Herzegovina,BIH,3535961
Botswana,BWA,2209197
Brazil,BRA,205962108
British Virgin Islands,VGB,30113
Brunei Darussalam,BRN,417542
Bulgaria,BGR,7177991
Burkina Faso,BFA,18110624
Burundi,BDI,10199270
Cabo Verde,CPV,532913
Cambodia,KHM,15517635
Cameroon,CMR,22834522
Canada,CAN,35832513
Cayman Islands,CYM,59963
Central African Republic,CAF,4546100
Chad,TCD,14009413
Channel Islands,CHI,163758
Chile,CHL,17762681
China,CHN,1371220000
Colombia,COL,48228697
Comoros,COM,777424
"Congo, Dem. Rep.",COD,76196619
"Congo, Rep.",COG,4995648
Costa Rica,CRI,4807852
Cote d'Ivoire,CIV,23108472
Croatia,HRV,4203604
Cuba,CUB,11461432
Curacao,CUW,157980
Cyprus,CYP,1160985
Czech Republic,CZE,10546059
Denmark,DNK,5683483
Djibouti,DJI,927414
Dominica,DMA,73162
Dominican Republic,DOM,10528394
Ecuador,ECU,16144368
"Egypt, Arab Rep.",EGY,93778172
El Salvador,SLV,6312478
Equatorial Guinea,GNQ,1175389
Eritrea,ERI,..
Estonia,EST,1315407
Ethiopia,ETH,99873033
Faroe Islands,FRO,48965
Fiji,FJI,892149
Finland,FIN,5479531
France,FRA,66593366
French Polynesia,PYF,277690
Gabon,GAB,1930175
"Gambia, The",GMB,1977590
Georgia,GEO,3717100
Germany,DEU,81686611
Ghana,GHA,27582821
Gibraltar,GIB,34228
Greece,GRC,10820883
Greenland,GRL,56114
Grenada,GRD,106823
Guam,GUM,161797
Guatemala,GTM,16252429
Guinea,GIN,12091533
Guinea-Bissau,GNB,1770526
Guyana,GUY,768514
Haiti,HTI,10711061
Honduras,HND,8960829
"Hong Kong SAR, China",HKG,7291300
Hungary,HUN,9843028
Iceland,ISL,330815
India,IND,1309053980
Indonesia,IDN,258162113
"Iran, Islamic Rep.",IRN,79360487
Iraq,IRQ,36115649
Ireland,IRL,4701957
Isle of Man,IMN,83167
Israel,ISR,8380100
Italy,ITA,60730582
Jamaica,JAM,2871934
Japan,JPN,127141000
Jordan,JOR,9159302
Kazakhstan,KAZ,17542806
Kenya,KEN,47236259
Kiribati,KIR,112407
"Korea, Dem. People’s Rep.",PRK,25243917
"Korea, Rep.",KOR,51014947
Kosovo,XKX,1801800
Kuwait,KWT,3935794
Kyrgyz Republic,KGZ,5956900
Lao PDR,LAO,6663967
Latvia,LVA,1977527
Lebanon,LBN,5851479
Lesotho,LSO,2174645
