Country,Happiness Score,Happiness Rank,Country Code,Total Cellular Subscriptions,Total Broadband Subscriptions,% of Internet Users,Total Population,Cellular Subscriptions per Citizen,Broadband Subscriptions per Citizen
Switzerland,7.5870000000000015,1,CHE,11243210,3700563,87.48,8282396,1.3574827863821048,0.4467986075526937
Iceland,7.561,2,ISL,383919,124436,98.2,330815,1.1605247645965269,0.37614981182836327
Denmark,7.527,3,DNK,7079249,2404962,96.33,5683483,1.2455828582578676,0.42314932586232773
Norway,7.522,4,NOR,5714890,2047146,96.81,5190239,1.1010841697270588,0.39442229924286726
Canada,7.427,5,CAN,29765000,13030000,88.47,35832513,0.8306701793424313,0.36363623170945336
Finland,7.4060000000000015,6,FIN,7396200,1729897,86.42,5479531,1.3497870529430347,0.3157016540284196
Netherlands,7.377999999999999,7,NLD,20809054,7029097,91.72,16939923,1.2284031043116312,0.41494267713023253
Sweden,7.364,8,SWE,12638827,3496240,90.61,9799186,1.2897833554746283,0.3567888189896589
New Zealand,7.286,9,NZL,5600000,1450900,88.22,4595700,1.218530365341515,0.31570816197750073
Australia,7.284,10,AUS,25770000,6828000,84.56,23850784,1.080467627395393,0.286279897549699
Israel,7.278,11,ISR,10570000,2173000,77.35,8380100,1.2613214639443444,0.25930478156585246
Costa Rica,7.226,12,CRI,7535599,558656,59.76,4807852,1.5673525308183363,0.11619658841411924
Austria,7.2,13,AUT,13470623,2455500,83.94,8642699,1.5586129980923784,0.2841126365733667
Mexico,7.187,14,MEX,107688282,14757686,57.43,125890949,0.8554092478880273,0.11722594926184884
United States,7.119,15,USA,382307000,102212000,74.55,321039839,1.1908397449700938,0.3183779319052051
Brazil,6.983,16,BRA,257814274,25482478,58.33,205962108,1.2517558521007175,0.12372410754312148
Luxembourg,6.9460000000000015,17,LUX,806800,195300,96.38,569604,1.4164226374814783,0.34286978321781447
Ireland,6.94,18,IRL,4902009,1309467,83.49,4701957,1.0425465396642293,0.27849403982214216
Belgium,6.937,19,BEL,12774090,4121049,85.05,11274196,1.1330377793680366,0.3655293024886209
United Arab Emirates,6.901,20,ARE,17942560,1234447,90.5,9154302,1.960013991236033,0.1348488393762845
United Kingdom,6.867000000000001,21,GBR,79250793,24686486,92.0,65128861,1.2168306305863388,0.37904065296029055
Oman,6.853,22,OMN,6646655,233234,73.53,4199810,1.582608498955905,0.0555344170331515
Venezuela,6.81,23,VEN,29093517,2580080,61.87,31155134,0.9338273749681192,0.08281395933010592
Singapore,6.797999999999999,24,SGP,8233100,1486200,79.01,5535002,1.4874610704747713,0.2685093880724885
Panama,6.7860000000000005,25,PAN,5741929,316168,51.21,3969249,1.4466033750969012,0.07965436282782964
Germany,6.75,26,DEU,96360000,30707429,87.59,81686611,1.1796302823727134,0.37591752949574564
Chile,6.67,27,CHL,23206353,2719439,76.63,17762681,1.30646679969088,0.1530984540002717
Qatar,6.6110000000000015,28,QAT,3740469,237774,92.88,2481539,1.5073182408174928,0.09581715217854726
France,6.575,29,FRA,66681000,26867000,78.01,66593366,1.0013159569077796,0.40344859576553016
Argentina,6.574,30,ARG,61842011,6855837,68.04,43417765,1.4243480980653886,0.15790395935857132
Czech Republic,6.505,31,CZE,12454575,2946626,75.67,10546059,1.1809695925274077,0.2794054158050889
Uruguay,6.485,32,URY,5165474,900933,64.6,3431552,1.5052879863105673,0.2625438868477004
Colombia,6.477,33,COL,57327470,5525763,55.9,48228697,1.1886589015664264,0.11457417147305472
Thailand,6.455,34,THA,102942000,6229000,39.32,68657600,1.4993533126704108,0.09072557153177507
Saudi Arabia,6.4110000000000005,35,SAU,52796066,3564976,69.62,31557144,1.6730305505466527,0.11296890491737782
Spain,6.329,36,ESP,51067770,13542906,78.69,46444832,1.0995361120048837,0.2915912366740825
Malta,6.3020000000000005,37,MLT,524161,163205,75.96,445053,1.1777496163378294,0.3667091335189292
Kuwait,6.295,39,KWT,5846335,55000,77.52,3935794,1.4854270828198834,0.013974308614729328
Suriname,6.269,40,SUR,750458,52691,42.76,553208,1.356556665847204,0.09524627264970861
Trinidad and Tobago,6.167999999999998,41,TTO,2123374,278522,69.2,1360092,1.561198801257562,0.2047817353531967
El Salvador,6.13,42,SLV,9334132,353001,26.8,6312478,1.4786795296553905,0.055921145388546305
Guatemala,6.122999999999998,43,GTM,18121390,459847,28.81,16252429,1.1149957953977219,0.02829404761589791
Uzbekistan,6.002999999999999,44,UZB,21783300,1787786,42.8,31298900,0.6959765359165977,0.05711977098236679
Slovakia,5.995,45,SVK,6675553,1273812,77.63,5423801,1.2307887033466014,0.23485596171393455
Japan,5.987,46,JPN,160559734,38872579,91.06,127141000,1.2628478146310003,0.3057438513146821
South Korea,5.984,47,KOR,58935081,20024419,89.9,51014947,1.1552512443068892,0.3925206273369254
Ecuador,5.975,48,ECU,12943791,1487592,48.94,16144368,0.8017527226832292,0.09214309287300686
Bahrain,5.96,49,BHR,2519055,253041,93.48,1371855,1.8362399816307118,0.18445170954656287
Italy,5.948,50,ITA,87691238,14900171,58.14,60730582,1.4439387062024205,0.24534872726890714
Bolivia,5.89,51,BOL,10162829,180951,35.56,10724705,0.9476091883180003,0.01687235219989734
Moldova,5.8889999999999985,52,MDA,3713137,534393,69.0,3554108,1.0447451231082454,0.15035924625813285
Paraguay,5.877999999999999,53,PRY,7411986,220858,49.72,6639119,1.116411078036107,0.0332661607662101
Kazakhstan,5.855,54,KAZ,26309300,2301000,70.83,17542806,1.4997201701939815,0.1311648775002129
Slovenia,5.848,55,SVN,2353926,564046,73.1,2063531,1.1407272292008213,0.2733402115112397
Lithuania,5.832999999999998,56,LTU,4184053,833298,71.38,2904910,1.4403382548856936,0.28685845688850947
Nicaragua,5.8279999999999985,57,NIC,7264151,116308,19.7,6082035,1.1943619199823743,0.019123204651074845
Peru,5.824,58,PER,34235810,1999459,40.9,31376671,1.091123083133963,0.06372438299780114
Belarus,5.813,59,BLR,11448281,2903497,67.3,9489616,1.2064008701721967,0.3059656997712025
Poland,5.791,60,POL,54537230,7265546,68.0,37986412,1.4357036405544172,0.1912669719898789
